q,m_kg,m_over_mp,m_microgram
0.375,7.697765228624023e-09,0.35368699527914327,7.697765228624022
0.3775,7.742946733278801e-09,0.3557629368217767,7.742946733278801
0.38,7.788008832116473e-09,0.3578333920598246,7.788008832116473
0.3825,7.832950830223728e-09,0.35989832906430597,7.832950830223727
0.385,7.877772034539361e-09,0.36195771599133786,7.877772034539361
0.3875,7.922471753864954e-09,0.36401152108262613,7.922471753864953
0.39,7.96704929887554e-09,0.3660597126659557,7.967049298875539
0.3925,8.011503982130229e-09,0.3681022591556786,8.011503982130229
0.395,8.05583511808281e-09,0.3701391290532011,8.05583511808281
0.3975,8.10004202309233e-09,0.37217029094746984,8.10004202309233
0.4,8.144124015433627e-09,0.3741957135154556,8.144124015433627
0.4025,8.188080415307845e-09,0.3762153655226369,8.188080415307844
0.405,8.231910544852923e-09,0.37822921582348135,8.231910544852923
0.40750000000000003,8.27561372815404e-09,0.3802372333619259,8.27561372815404
0.41000000000000003,8.319189291254048e-09,0.3822393871718562,8.319189291254048
0.41250000000000003,8.36263656216386e-09,0.3842356463775838,8.36263656216386
0.41500000000000004,8.405954870872812e-09,0.3862259801943222,8.405954870872812
0.4175,8.449143549358992e-09,0.38821035792866165,8.449143549358991
0.42,8.492201931599552e-09,0.39018874897904277,8.492201931599553
0.4225,8.53512935358098e-09,0.39216112283622845,8.53512935358098
0.425,8.577925153309316e-09,0.3941274490837735,8.577925153309316
0.4275,8.62058867082039e-09,0.3960876973984948,8.62058867082039
0.43,8.663119248189984e-09,0.39804183755093847,8.663119248189984
0.4325,8.705516229543985e-09,0.39998983940584604,8.705516229543985
0.435,8.74777896106849e-09,0.401931672922619,8.74777896106849
0.4375,8.789906791019899e-09,0.40386730815578237,8.789906791019899
0.44,8.831899069734957e-09,0.40579671525544625,8.831899069734957
0.4425,8.873755149640785e-09,0.4077198644677667,8.873755149640784
0.445,8.915474385264848e-09,0.4096367261354036,8.915474385264847
0.4475,8.957056133244922e-09,0.41154727069797864,8.957056133244922
0.45,8.998499752339019e-09,0.4134514686925315,8.998499752339018
0.4525,9.03980460343526e-09,0.41534929075397325,9.039804603435261
0.455,9.080970049561748e-09,0.41724070761554016,9.080970049561747
0.4575,9.121995455896377e-09,0.41912569010924433,9.121995455896377
0.46,9.16288018977663e-09,0.42100420916632386,9.162880189776631
0.4625,9.203623620709337e-09,0.42287623581769107,9.203623620709337
0.465,9.244225120380389e-09,0.4247417411943793,9.244225120380388
0.4675,9.284684062664437e-09,0.4266006965279879,9.284684062664438
0.47000000000000003,9.324999823634536e-09,0.4284530731511257,9.324999823634537
0.47250000000000003,9.365171781571782e-09,0.43029884249785394,9.365171781571782
0.47500000000000003,9.405199316974887e-09,0.43213797610412585,9.405199316974887
0.47750000000000004,9.445081812569743e-09,0.4339704456082263,9.445081812569743
0.48,9.484818653318924e-09,0.43579622275120833,9.484818653318925
0.4825,9.524409226431196e-09,0.43761527937733014,9.524409226431196
0.485,9.563852921370942e-09,0.4394275874344881,9.563852921370943
0.4875,9.60314912986759e-09,0.44123311897465006,9.60314912986759
0.49,9.642297245924996e-09,0.44303184615428604,9.642297245924997
0.4925,9.681296665830783e-09,0.444823741234798,9.681296665830782
0.495,9.720146788165649e-09,0.44660877658294695,9.720146788165648
0.4975,9.75884701381265e-09,0.4483869246712798,9.75884701381265
0.5,9.797396745966429e-09,0.4501581580785531,9.797396745966429
0.5025000000000001,9.835795390142428e-09,0.4519224494901567,9.835795390142428
0.505,9.874042354186056e-09,0.4536797716985346,9.874042354186056
0.5075000000000001,9.912137048281811e-09,0.45543009760360437,9.912137048281812
0.51,9.950078884962386e-09,0.45717340021317526,9.950078884962386
0.5125,9.98786727911772e-09,0.4589096526433644,9.98786727911772
0.515,1.0025501648004034e-08,0.4606388281190117,10.025501648004033
0.5175,1.0062981411252799e-08,0.462360899974092,10.0629814112528
0.52,1.0100305990879704e-08,0.46407584165212723,10.100305990879704
0.5225,1.0137474811293557e-08,0.46578362670659496,10.137474811293558
0.525,1.0174487299305169e-08,0.4674842288013372,10.174487299305168
0.5275,1.0211342884136184e-08,0.46917762171096583,10.211342884136185
0.53,1.0248040997427897e-08,0.47086377932126744,10.248040997427896
0.5325,1.028458107325e-08,0.47254267562960567,10.28458107325
0.535,1.032096254810932e-08,0.4742142847453227,10.320962548109321
0.5375,1.0357184860958513e-08,0.47587858089013796,10.357184860958514
0.54,1.0393247453204704e-08,0.4775355383985461,10.393247453204705
0.5425,1.0429149768718107e-08,0.47918513171821264,10.429149768718107
0.545,1.0464891253840607e-08,0.48082733541036793,10.464891253840607
0.5475,1.0500471357394284e-08,0.4824621241501994,10.500471357394284
0.55,1.0535889530689933e-08,0.4840894727272426,10.535889530689934
0.5525,1.05711452275355e-08,0.4857093560457691,10.5711452275355
0.555,1.0606237904244534e-08,0.48732174912517445,10.606237904244534
0.5575,1.0641167019644543e-08,0.48892662710036255,10.641167019644543
0.56,1.0675932035085361e-08,0.4905239652221299,10.675932035085362
0.5625,1.0710532414447441e-08,0.4921137388575464,10.71053241444744
0.5650000000000001,1.0744967624150134e-08,0.49369592349033625,10.744967624150135
0.5675,1.0779237133159905e-08,0.4952704947212549,10.779237133159905
0.5700000000000001,1.0813340412998533e-08,0.4968374282684662,10.813340412998533
0.5725,1.0847276937751256e-08,0.49839669996791663,10.847276937751255
0.5750000000000001,1.0881046184074877e-08,0.4999482857737074,10.881046184074878
0.5775,1.0914647631205847e-08,0.5014921617584662,10.914647631205847
0.58,1.0948080760968284e-08,0.5030283041137155,10.948080760968285
0.5825,1.0981345057781967e-08,0.5045566891502397,10.981345057781967
0.585,1.1014440008670289e-08,0.5060772932984507,11.014440008670288
0.5875,1.1047365103268168e-08,0.5075900931087519,11.047365103268168
0.59,1.1080119833829914e-08,0.5090950652518986,11.080119833829915
0.5925,1.1112703695237064e-08,0.5105921865193586,11.112703695237064
0.595,1.1145116185006164e-08,0.5120814338236698,11.145116185006165
0.5975,1.1177356803296529e-08,0.5135627841987966,11.17735680329653
0.6,1.1209425052917941e-08,0.5150362148004839,11.209425052917942
0.6025,1.1241320439338317e-08,0.5165017029066088,11.241320439338317
0.605,1.1273042470691343e-08,0.5179592259175317,11.273042470691342
0.6075,1.1304590657784058e-08,0.5194087613564453,11.304590657784058
0.61,1.1335964514104384e-08,0.5208502868697193,11.335964514104385
0.6125,1.1367163555828652e-08,0.5222837802272478,11.367163555828652
0.615,1.1398187301829036e-08,0.523709219322789,11.398187301829036
0.6175,1.1429035273680998e-08,0.5251265821743093,11.429035273680999
0.62,1.1459706995670653e-08,0.52653584692432,11.459706995670652
0.6225,1.1490201994802103e-08,0.5279369918402154,11.490201994802103
0.625,1.1520519800804738e-08,0.5293299953146074,11.520519800804738
0.6275000000000001,1.1550659946140485e-08,0.5307148358656595,11.550659946140485
0.63,1.1580621966011015e-08,0.5320914921374169,11.580621966011014
0.6325000000000001,1.1610405398364922e-08,0.5334599429001373,11.610405398364922
0.635,1.164000978390483e-08,0.5348201670506169,11.64000978390483
0.6375000000000001,1.1669434666094497e-08,0.5361721436125165,11.669434666094496
0.64,1.1698679591165832e-08,0.537515851736685,11.698679591165831
0.6425,1.1727744108125917e-08,0.5388512707014811,11.727744108125917
0.645,1.1756627768763949e-08,0.5401783799130924,11.756627768763948
0.6475,1.1785330127658146e-08,0.5414971589058529,11.785330127658145
0.65,1.1813850742182627e-08,0.5428075873425593,11.813850742182627
0.6525,1.1842189172514236e-08,0.544109645014784,11.842189172514235
0.655,1.187034498163932e-08,0.5454033118431869,11.87034498163932
0.6575,1.1898317735360476e-08,0.5466885678778254,11.898317735360475
0.66,1.1926107002303233e-08,0.5479653932984612,11.926107002303233
0.6625,1.1953712353922718e-08,0.5492337684148668,11.953712353922718
0.665,1.1981133364510262e-08,0.5504936736671292,11.981133364510262
0.6675,1.2008369611199959e-08,0.5517450896259506,12.008369611199958
0.67,1.203542067397519e-08,0.5529879969929488,12.03542067397519
0.6725,1.2062286135675106e-08,0.5542223766009546,12.062286135675107
0.675,1.2088965582001053e-08,0.5554482094143077,12.088965582001054
0.6775,1.2115458601522967e-08,0.5566654765291495,12.115458601522967
0.68,1.214176478568571e-08,0.5578741591737154,12.14176478568571
0.6825,1.2167883728815379e-08,0.5590742387086236,12.16788372881538
0.685,1.2193815028125564e-08,0.5602656966271633,12.193815028125565
0.6875,1.2219558283723547e-08,0.5614485145555792,12.219558283723547
0.6900000000000001,1.2245113098616487e-08,0.5626226742533561,12.245113098616487
0.6925,1.227047907871752e-08,0.5637881576134987,12.27047907871752
0.6950000000000001,1.2295655832851854e-08,0.5649449466628116,12.295655832851855
0.6975,1.2320642972762797e-08,0.566093023562177,12.320642972762798
0.7000000000000001,1.234544011311774e-08,0.5672323706068286,12.34544011311774
0.7025,1.2370046871514104e-08,0.5683629702266257,12.370046871514104
0.705,1.2394462868485235e-08,0.5694848049863236,12.394462868485235
0.7075,1.2418687727506253e-08,0.5705978575858424,12.418687727506253
0.71,1.2442721074999867e-08,0.571702110860534,12.442721074999866
0.7125,1.2466562540342129e-08,0.5727975477814472,12.46656254034213
0.715,1.2490211755868145e-08,0.5738841514555891,12.490211755868145
0.7175,1.2513668356877762e-08,0.5749619051261874,12.513668356877762
0.72,1.2536931981641173e-08,0.576030792172947,12.536931981641173
