c2,QCMI,SR
0.93497650,2.94710600,2.00000000
0.54370367,3.01971273,2.00000000
0.64928185,3.17405122,2.00000000
0.86648312,3.01734909,2.00000000
0.61957542,3.25959263,2.00000000
0.72488585,3.23821165,2.00000000
1.06818891,3.27704766,2.00000000
0.74269120,3.44248665,2.00000000
0.85825991,3.18978980,2.00000000
0.75994329,2.84588589,2.00000000
0.46141526,3.25827424,2.00000000
0.47547943,3.41707312,2.00000000
0.57838152,3.31342469,2.00000000
0.64816841,3.44041279,2.00000000
0.70426873,3.20019498,2.00000000
0.79375569,2.71438616,2.00000000
0.68082972,3.38429173,2.00000000
0.88298477,2.98365774,2.00000000
0.56273130,3.18883895,2.00000000
0.51172382,3.08781209,2.00000000
0.86486892,3.15131613,2.00000000
0.69263864,3.34178213,2.00000000
0.61225912,3.40552682,2.00000000
0.83547787,3.31145694,2.00000000
0.43387192,3.27301898,2.00000000
0.66881480,3.36947098,2.00000000
0.62859147,3.22520804,2.00000000
0.99218492,2.97048418,2.00000000
0.99835272,2.99291767,2.00000000
0.63057363,3.18421875,2.00000000
0.63201728,3.26766532,2.00000000
1.04193902,3.29080125,2.00000000
0.39324823,3.01853582,2.00000000
0.52182589,3.39617867,2.00000000
0.58070538,3.21865932,2.00000000
0.78857438,3.02999933,2.00000000
0.32272384,2.78635264,2.00000000
0.79727010,3.09391434,2.00000000
0.61261993,3.31340674,2.00000000
0.86522680,2.77753195,2.00000000
1.06570844,3.10892953,2.00000000
0.88031478,3.45393809,2.00000000
0.80428129,3.18558374,2.00000000
0.38194614,2.96811990,2.00000000
0.76011744,3.18501926,2.00000000
0.72020330,3.20770735,2.00000000
0.31342402,2.65196138,2.00000000
0.63510613,3.25190744,2.00000000
0.68647505,3.35800667,2.00000000
0.58987251,3.34540722,2.00000000
0.66410803,3.29155755,2.00000000
0.60073307,3.31826681,2.00000000
0.60972782,3.18975404,2.00000000
0.52734890,3.20007152,2.00000000
0.45833199,3.02033549,2.00000000
0.32931021,2.74873318,2.00000000
0.66468082,3.10899876,2.00000000
1.03187062,3.21083839,2.00000000
0.70421729,3.18382812,2.00000000
0.96311204,3.02550084,2.00000000
0.69453571,3.15886622,2.00000000
0.31114793,3.44353679,2.00000000
0.71080752,3.49230820,2.00000000
0.52647990,3.17874536,2.00000000
0.67458591,3.15749398,2.00000000
0.84148349,3.06345474,2.00000000
0.35319933,3.32957797,2.00000000
0.79679182,3.26519723,2.00000000
0.95010863,3.45253479,2.00000000
0.70514190,3.21492065,2.00000000
0.80151308,3.18980652,2.00000000
0.50441249,3.31174610,2.00000000
0.77284728,3.56845848,2.00000000
0.63918593,3.46314489,2.00000000
0.89961118,3.19250481,2.00000000
0.62773699,3.27203829,2.00000000
0.84599160,3.41312044,2.00000000
0.58144888,3.04866762,2.00000000
0.57460920,3.27228915,2.00000000
0.62498930,2.94256280,2.00000000
0.57797447,3.30722617,2.00000000
0.63330885,3.31636068,2.00000000
0.30712429,2.90599675,2.00000000
0.62567566,2.73106760,2.00000000
0.47804048,3.36560565,2.00000000
0.52300594,3.24918913,2.00000000
0.28161506,2.53414973,2.00000000
0.66766321,3.53476526,2.00000000
0.77072744,3.22102729,2.00000000
0.60971542,3.05230485,2.00000000
0.61293580,3.15685686,2.00000000
0.80592995,3.04555250,2.00000000
0.48498852,3.23504216,2.00000000
0.72894793,3.37510965,2.00000000
0.65471083,3.34424801,2.00000000
0.28073773,2.71412835,2.00000000
0.85317180,3.30210189,2.00000000
0.76145113,3.33134025,2.00000000
0.57233715,3.32477947,2.00000000
0.44790913,3.06519059,2.00000000
0.38142097,3.05060773,2.00000000
0.43929730,3.03683992,2.00000000
0.61278582,3.25131533,2.00000000
0.39386821,2.98310084,2.00000000
0.67821557,3.37180009,2.00000000
0.99426888,2.99796642,2.00000000
0.33092529,2.48231714,2.00000000
0.49286248,2.74241673,2.00000000
0.78408580,3.22624009,2.00000000
0.19410626,2.38894468,2.00000000
0.67416251,3.31378801,2.00000000
0.75676851,3.38944658,2.00000000
0.73827057,3.27027787,2.00000000
0.66770981,3.16544790,2.00000000
