L,N,rho,boundary,freeze,T_LR,T_RL,DeltaT,nu_Q
10,4,0.4,PBC,dephase,0.005863514228376943,0.0029710916038538926,0.00289242262452305,1
10,4,0.4,PBC,clamped,0.0059048461222843684,0.002258380368935775,0.0036464657533485934,1
10,5,0.5,OBC,hard,0.004391989194552082,0.0025040833318001887,0.001887905862751893,1
10,5,0.5,OBC,dephase,0.004109217087489014,0.0023973832474766255,0.001711833840012389,1
10,5,0.5,OBC,clamped,0.004585344816732118,0.002620810827025366,0.0019645339897067515,1
10,5,0.5,PBC,hard,0.004391989194552082,0.0025040833318001887,0.001887905862751893,1
10,5,0.5,PBC,dephase,0.0041915677932991,0.0019269301239077663,0.002264637669391334,1
10,5,0.5,PBC,clamped,0.005106859673809083,0.003193055553296631,0.0019138041205124523,1
10,6,0.6,OBC,hard,0.0023664543276069594,0.001215709049873226,0.0011507452777337335,1
10,6,0.6,OBC,dephase,0.0021385064874479554,0.0011240141075674615,0.001014492379880494,1
10,6,0.6,OBC,clamped,0.002458562047280566,0.0012712119445978942,0.0011873501026826716,1
10,6,0.6,PBC,hard,0.0023664543276069594,0.001215709049873226,0.0011507452777337335,1
10,6,0.6,PBC,dephase,0.0021207735363404367,0.0008039656576031007,0.001316807878737336,1
10,6,0.6,PBC,clamped,0.0021405486814174424,0.0005977981079041683,0.001542750573513274,1
10,7,0.7,OBC,hard,0.0007159534387568556,0.0003261894487849304,0.0003897639899719252,1
10,7,0.7,OBC,dephase,0.000554243211325911,0.00027225221188587057,0.00028199099944004047,1
10,7,0.7,OBC,clamped,0.0006951830062718045,0.0003281247966668843,0.0003670582096049202,1
10,7,0.7,PBC,hard,0.0007159534387568556,0.0003261894487849304,0.0003897639899719252,1
10,7,0.7,PBC,dephase,0.00045933587422553046,0.0001508599005717315,0.000308475973653799,1
10,7,0.7,PBC,clamped,0.0008083640992140317,0.0003516212947474173,0.0004567428044666144,1
10,8,0.8,OBC,hard,-0.00012999978782346489,6.297285359835314e-05,-0.00019297264142181803,-1
10,8,0.8,OBC,dephase,-0.00022536302779485595,5.308865702602361e-05,-0.00027845168482087956,-1
10,8,0.8,OBC,clamped,-0.00022231893925805934,4.451972479557753e-05,-0.0002668386640536369,-1
10,8,0.8,PBC,hard,-0.00012999978782346489,6.297285359835314e-05,-0.00019297264142181803,-1
10,8,0.8,PBC,dephase,-0.00035603200299050286,0.00010653359794332573,-0.0004625656009338286,-1
10,8,0.8,PBC,clamped,-0.0005384172849787205,0.00033845057334502826,-0.0008768678583237488,-1
10,9,0.9,OBC,hard,-0.00019599894773847382,0.00019599895395572275,-0.00039199790169419657,-1
10,9,0.9,OBC,dephase,-0.0002345834353434384,0.00021321772347704382,-0.0004478011588204822,-1
10,9,0.9,OBC,clamped,-0.00028442305399778434,0.0001879046136465945,-0.00047232766764437883,-1
10,9,0.9,PBC,hard,-0.00019599894773847382,0.00019599895395572275,-0.00039199790169419657,-1
10,9,0.9,PBC,dephase,-0.000340263795806095,0.00033616633210442615,-0.0006764301279105212,-1
10,9,0.9,PBC,clamped,-0.0002763090085622366,0.00011636778296519878,-0.0003926767915274354,-1
