N,D,topology,trial,M,steps,rho_D_final,mm_ratio,mm_se,mm_dimension,dist_to_gamma4,eta,alignment_mean,alignment_se
1000,2,random_regular,4,955,51,0.955,0.4211656325604485,0.005225823820696831,2,0.22016563256044847,1.0,-0.02130454014428935,0.011466203408560563
1000,2,random_regular,0,955,27,0.955,0.34764756048698486,0.006725145271796799,3,0.14664756048698485,1.0,0.1675140272267215,0.010771283561886103
1000,2,random_regular,1,952,26,0.952,0.3640705436329744,0.006464138950320505,3,0.1630705436329744,1.0,0.02712422535244764,0.011441968299667243
1000,2,random_regular,2,955,27,0.955,0.35214962711065473,0.0066767279613621135,3,0.15114962711065472,1.0,0.04076455178658815,0.010387410356074947
1000,2,random_regular,3,963,28,0.963,0.34110105395704043,0.006788437520932024,3,0.14010105395704042,1.0,0.1459589975669332,0.009823354398021624
1000,2,random_regular,4,956,27,0.956,0.34331769207112534,0.006746826291725563,3,0.14231769207112532,1.0,0.44392602121662983,0.008592447095073933
1000,2,small_world,0,958,70,0.958,0.4136430575154868,0.005395890142669043,2,0.2126430575154868,1.0,0.03313511547132083,0.010762768526309065
1000,2,small_world,1,955,72,0.955,0.42026746888046823,0.005225332077434041,2,0.21926746888046822,1.0,0.012613391155870013,0.010582234439564516
1000,2,small_world,2,952,73,0.952,0.4179799242547744,0.005280368245284054,2,0.21697992425477441,1.0,0.08329130747217742,0.010034213038816435
1000,2,small_world,3,956,78,0.956,0.42258730828568064,0.005156646673126542,2,0.22158730828568063,1.0,0.013944719022689244,0.010886766600880827
1000,2,small_world,4,954,68,0.954,0.41875765549493105,0.005254660361630123,2,0.21775765549493104,1.0,0.06915412785621483,0.010068062370783518
1000,2,small_world,0,953,47,0.953,0.35986270679609195,0.006464549520874368,3,0.15886270679609193,1.0,0.14067508740060664,0.0110076211233256
1000,2,small_world,1,956,42,0.956,0.34990320688476284,0.006595877939401293,3,0.14890320688476283,1.0,0.056181622738105216,0.010522132966067662
1000,2,small_world,2,957,41,0.957,0.36058427855732683,0.006449623373882392,3,0.15958427855732682,1.0,0.05279193538819535,0.010107518726199066
