q_access,archive_fraction_A,mass_over_mp,classicality_proxy
0.8875000000000001,0.11249999999999993,0.11191538771487632,0.09629292212680385
0.89,0.10999999999999999,0.10945346468324074,0.09226246451317044
0.8925000000000001,0.10749999999999993,0.10698985374377931,0.08830520543540943
0.895,0.10499999999999998,0.10452459288842053,0.08442225713802243
0.8975,0.10250000000000004,0.1020577201345363,0.08061471431841016
0.9,0.09999999999999998,0.09958927352435612,0.07688365361336413
0.9025,0.09750000000000003,0.0971192911243805,0.07323013309244486
0.905,0.09499999999999997,0.09464781102479337,0.06965519175857915
0.9075,0.09250000000000003,0.09217487133887545,0.06615984905621075
0.91,0.08999999999999997,0.08970051020241562,0.06274510438732228
0.9125,0.08750000000000002,0.08722476577312378,0.059411936635657914
0.915,0.08499999999999996,0.08474767623004145,0.05616130369945682
0.9175,0.08250000000000002,0.08226927977295391,0.052994142033014224
0.92,0.07999999999999996,0.07978961462180023,0.04991136619737302
0.9225,0.07750000000000001,0.07730871901608476,0.046913868420451754
0.925,0.07499999999999996,0.0748266312142865,0.04400251816690004
0.9275,0.07250000000000001,0.07234338949327007,0.041178161717976836
0.93,0.06999999999999995,0.06985903214769455,0.038441621761730604
0.9325,0.0675,0.06737359748942368,0.035793696993763446
0.935,0.06499999999999995,0.06488712384693432,0.033235161728846885
0.9375,0.0625,0.06239964956472615,0.03076676552365587
0.9400000000000001,0.05999999999999994,0.05991121300272956,0.02838923281087724
0.9425,0.057499999999999996,0.05742185253571487,0.026103262544942885
0.9450000000000001,0.05499999999999994,0.054931606552699776,0.02390952785962963
0.9475,0.05249999999999999,0.052440513456358126,0.021808675737762573
0.9500000000000001,0.04999999999999993,0.04994861166242685,0.019801326693244636
0.9525,0.04749999999999999,0.047455939599114504,0.01788807446563634
0.9550000000000001,0.04499999999999993,0.04496253570650764,0.01606948572749156
0.9575,0.04249999999999998,0.04246843843597898,0.014346099804654733
0.96,0.040000000000000036,0.03997368624959369,0.012718428409709492
0.9625,0.03749999999999998,0.03747831761951652,0.011186955388766906
0.965,0.03500000000000003,0.034982371027418885,0.009752136481765317
0.9675,0.03249999999999997,0.03248588496388465,0.008414399096449476
0.97,0.030000000000000027,0.029988897927817428,0.007174142096186609
0.9725,0.02749999999999997,0.02749144842584602,0.00603173560176562
0.975,0.025000000000000022,0.024993574971731464,0.00498752080731768
0.9775,0.022499999999999964,0.02249531608577221,0.0040418098104865186
0.98,0.020000000000000018,0.01999671029421099,0.0031948854569671115
0.9825,0.01749999999999996,0.017497796128639824,0.002447001199520349
0.985,0.015000000000000013,0.014998612125406655,0.0017983809715627075
0.9875,0.012499999999999956,0.012499196825020244,0.0012492190754190835
0.99,0.010000000000000009,0.009999588771556657,0.0007996800853162789
0.9925,0.007499999999999951,0.007499826512064023,0.0004498987651857522
0.995,0.0050000000000000044,0.004999948595968959,0.00019998000133325533
0.9975,0.0024999999999999467,0.0024999935744812025,4.999875002087428e-05
1.0,0.0,0.0,0.0
