mass_kg,gamma_thermal_1mK_s^-1,gamma_planck_energy_s^-1
8.376776400682924e-14,1.363919516991937e-110,3.0320644253760916e+29
1e-13,1.943725345743583e-110,4.3210031091341884e+29
1.1937766417144357e-13,2.770008180554794e-110,6.157873069214679e+29
1.4251026703029963e-13,3.9475460548697826e-110,8.77560135432475e+29
1.7012542798525996e-13,5.625658423939076e-110,1.2506132923562993e+30
2.0309176209047472e-13,8.017140842168123e-110,1.7822523424533843e+30
2.4244620170823406e-13,1.1425248822369004e-109,2.539892572384088e+30
2.8942661247167636e-13,1.628215260563423e-109,3.61960768718731e+30
3.455107294592232e-13,2.3203739156570235e-109,5.158312580459888e+30
4.1246263829013646e-13,3.3067710633042435e-109,7.351125032670924e+30
4.923882631706751e-13,4.712488272395556e-109,1.0476107913790538e+31
5.878016072274924e-13,6.715779620762463e-109,1.4929529362325251e+31
7.017038286703837e-13,9.570675470715026e-109,2.12761121606167e+31
8.376776400682925e-13,1.3639195169919374e-108,3.0320644253760915e+31
1e-12,1.9437253457435824e-108,4.3210031091341875e+31
1.1937766417144358e-12,2.770008180554795e-108,6.157873069214682e+31
1.4251026703029962e-12,3.947546054869781e-108,8.775601354324748e+31
1.7012542798525996e-12,5.6256584239390776e-108,1.2506132923562997e+32
2.0309176209047474e-12,8.017140842168124e-108,1.7822523424533845e+32
2.4244620170823406e-12,1.1425248822369003e-107,2.5398925723840877e+32
2.8942661247167635e-12,1.6282152605634226e-107,3.61960768718731e+32
3.4551072945922323e-12,2.320373915657024e-107,5.1583125804598885e+32
4.124626382901365e-12,3.306771063304244e-107,7.351125032670927e+32
4.923882631706752e-12,4.7124882723955566e-107,1.0476107913790539e+33
5.878016072274924e-12,6.715779620762462e-107,1.4929529362325246e+33
7.017038286703837e-12,9.570675470715024e-107,2.1276112160616702e+33
8.376776400682925e-12,1.363919516991937e-106,3.032064425376091e+33
1e-11,1.943725345743582e-106,4.321003109134187e+33
1.1937766417144358e-11,2.7700081805547945e-106,6.157873069214682e+33
1.4251026703029963e-11,3.9475460548697814e-106,8.77560135432475e+33
1.7012542798525995e-11,5.625658423939075e-106,1.2506132923562993e+34
